folio,fecha,importe,concepto,comentarios,evento_id,proveedor_id,tipo_gasto
1701,2024-05-13 23:28:12,30000,anticipo,ANTICIPO SALON EVENTO 18 ENERO 2025 PONSA folio:G2023-09611,121,267,efe
1702,2024-05-13 23:29:54,30000,anticipo,ANTICIPO JARDIN FORESTA EVENTO 18 ENERO 2025 folio:G2023-09612,119,267,efe
1703,2024-06-11 00:58:14,46875,anticipo,ANTICIPO SALON EVENTO 9 MAYO 2025 CEDROS folio:G2023-10389,135,75,efe
1704,2024-06-11 21:17:15,25000,anticipo,ANTICIPO SALON EVENTO 21 JUNIO 2025 CLUB DE BANQUEROS folio:G2023-10409,152,81,efe
1705,2024-06-12 16:17:50,30000,anticipo,ANTICIPO SALON EVENTO 2 AGOSTO 2025 PONSA folio:G2023-10420,169,267,efe
1706,2024-06-27 22:59:23,46875,pago,A CUENTA SALON EVENTO 5 MAYO 2025 CEDROS folio:G2023-10996,135,80,efe
1707,2024-07-10 20:53:01,30000,anticipo,ANTICIPO SALON EVENTO 31 ENERO 2025 SAN FERNANDO folio:G2023-11771,125,283,efe
1708,2024-07-17 17:09:36,10000,anticipo,ANTICIPO SALON EVENTO 29 MARZO 2025 CANDILES CORONA folio:G2023-12115,134,67,efe
1709,2024-07-17 17:10:55,10000,anticipo,ANTICIPO SALON EVENTO 25 ENERO 2025 CANDILES folio:G2023-12116,122,67,efe
1710,2024-07-17 17:12:03,10000,anticipo,ANTICIPO SALON EVENTO 1 FEBRERO 2025 CANDILES folio:G2023-12117,126,67,efe
1711,2024-07-22 20:57:51,9000,pago,ANTICIPO COMISION PLANNER ESTEBAN EVENTO 9 AGOSTO 2025 CANDILES POLANCO folio:G2023-12368,170,255,efe
1712,2024-08-01 20:41:19,14719,anticipo,ANTICIPO SALON EVENTO 13 JUNIO 2025 HSA CUPULA folio:G2023-12782,145,171,efe
1713,2024-08-05 18:08:51,15281,anticipo,COMPLEMENTO ANTICIPO SALON EVENTO 13 JUNIO 2025 CUPULA folio:G2023-12856,145,171,efe
1714,2024-08-13 18:47:37,15000,pago,ANTICIPO SALON EVENTO 15 AGOSTO 2025 HSA CUPULA folio:G2023-13039,171,171,efe
1715,2024-08-20 21:32:27,12000,pago,ANTIPO COMISIONES EVENTO 21 FEB. 25 CUPULA UNITEC folio:G2023-13222,131,255,efe
1716,2024-08-27 22:36:55,10400,pago,ANTICIPO COMISION PLANNER JESSICA Y OMAR VIAJE PUERTO VALLARTA VERANO 2024 folio:G2023-13387,156,250,efe
1717,2024-08-30 22:05:12,15000,anticipo,ANTICIPO SALON EVENTO 21 FEBRERO 2025 HSA CUPULA folio:G2023-13483,131,171,efe
1718,2024-08-30 22:07:30,15000,pago,COMPLEMENTO ANTICIPO SALON EVENTO 15 AGOSTO 2025 HSA CUPULA folio:G2023-13485,171,171,efe
1719,2024-09-03 19:31:51,24000,anticipo,ANTICIPO SALON EVENTO 7 MARZO 2024 SAN FERNANDO folio:G2023-13517,133,283,efe
1720,2024-09-05 01:00:48,5000,pago,A CUENTA COMISIONES EVENTO 7 MARZO 2025 SAN FERNANDO folio:G2023-13574,133,255,efe
1721,2024-09-09 17:34:43,30000,anticipo,ANTICIPO SALON EVENTO 16 AGOSTO 2025 PONSA folio:G2023-13684,172,267,efe
1722,2024-09-17 19:19:36,15000,anticipo,ANTICIPO SALON GAUDI EVENTO 11 ENERO 2025 folio:G2023-13828,114,158,efe
1723,2024-09-17 19:21:11,25000,anticipo,ANTICIPO SALON FORESTA EVENTO 7 JUNIO 2025 folio:G2023-13829,142,154,efe
1724,2024-09-17 19:22:08,15000,anticipo,ANTICIPO SALON GUADI EVENTO 12 JULIO 2025 folio:G2023-13830,159,158,efe
1725,2024-09-17 19:37:44,10000,anticipo,ANTICIPO SALON EVENTO 25 ENERO 2025 CANDILES folio:G2023-13833,122,67,efe
1726,2024-09-17 19:38:44,10000,anticipo,ANTICIPO SALON EVENTO 1 FEBRERO 2025 CANDILES folio:G2023-13834,126,67,efe
1727,2024-09-17 19:40:13,10000,anticipo,ANTICIPO SALON EVENTO 21 FEBRERO 2025 CANDILES folio:G2023-13835,130,67,efe
1728,2024-09-17 19:41:12,10000,anticipo,ANTICIPO SALON EVENTO 29 MARZO 2025 CANDILES folio:G2023-13836,134,67,efe
1729,2024-09-17 19:42:14,10000,anticipo,"ANTICIPO SALON EVENTO 20 JUNIO 2025 CANDILES , se cambia anticipo a la fecha 15 Feb 2025 Candiles folio:G2023-13837",176,67,efe
1730,2024-09-17 19:46:20,10000,anticipo,ANTICIPO SALON EVENTO 9 AGOSTO 2025 CANDILES folio:G2023-13838,170,67,efe
1731,2024-09-17 19:47:08,10000,anticipo,ANTICIPO SALON EVENTO 19 JULIO 2025 CANDILES folio:G2023-13839,162,67,efe
1732,2024-09-19 00:33:58,10000,pago,A CUENTA COMISION ESTEBAN 12 JULIO 2025 GAUDI folio:G2023-13861,159,255,efe
1733,2024-09-19 16:38:56,300,pago,PROPINA DEGUSTACION FORESTA / 11 ENERO 2025 folio:G2023-13867,114,154,efe
1734,2024-09-19 16:41:59,300,pago,PROPINA DEGUSTACION FORESTA / 18 ENERO 2025 folio:G2023-13868,121,154,efe
1735,2024-09-19 16:45:08,300,pago,PROPINA DEGUSTACION FORESTA / 18 ENERO 2025 folio:G2023-13869,119,154,efe
1736,2024-09-20 21:57:33,20000,anticipo,ANTICIPO SALON EVENTO 5 JULIO 2025 CAMPOS folio:G2023-13941,155,171,efe
1737,2024-09-20 21:58:54,30000,anticipo,ANTICIPO SALON EVENTO 5 SEPTIEMBRE 2025 CUPULA folio:G2023-13942,174,171,efe
1738,2024-10-01 01:36:14,5000,pago,ANTICIPO COMISION BRENDA TAPIA 14 JUNIO 2025 FORESTA folio:G2023-14167,147,254,efe
1739,2024-10-03 20:44:24,300,pago,PROPINA DE DEGUSTACION 31 ENERO 2025 HSA CUPULA folio:G2023-14229,124,69,efe
1740,2024-10-03 20:46:57,300,pago,PROPINA DE DEGUSTACION 8 FEBRERO 2025 HSA CUPULA folio:G2023-14231,129,69,efe
1741,2024-10-03 22:59:08,25000,anticipo,ANTICIPO SALON EVENTO 14 JUNIO 2025 JARDIN FORESTA se cambia el evento al 27 JUNIO 2025 / SALON PONSA / UNAM FACULTAD ODONTOLOGIA solicitado por Brenda 4 oct 2024 folio:G2023-14239,147,154,efe
1742,2024-10-03 23:17:07,30000,anticipo,ANTICIPO SALON PONSA EVENTO 12 JULIO 2025 folio:G2023-14240,153,267,efe
1743,2024-10-04 00:46:06,19000,pago,ANTICIPO COMISION EVENTO 13 JUNIO 25 CANDILES folio:G2023-14250,144,148,efe
1744,2024-10-08 00:55:28,5000,pago,ANTICIPO COMISION PLANNER BRENDA EVENTO 14 JUNIO 2025 ODONTOLOGIA folio:G2023-14285,147,254,efe
1745,2024-10-11 18:44:06,20000,pago,PAGO A CUENTA DE COMISIONES EVENTO 7 MARZO 25 SAN FERNANDO folio:G2023-14348,133,255,efe
1746,2024-10-14 20:36:20,5000,anticipo,ANTICIPO PRUEBA DE MENU FECHA 8 DICIEMBRE 2024 HSA CUPULA folio:G2023-14366,124,69,efe
1747,2024-10-14 20:41:50,5000,anticipo,ANTICIPO PRUEBA DE MENU FECHA 31 ENERO 2025 HSA CUPULA folio:G2023-14368,124,69,efe
1748,2024-10-14 20:51:02,5000,anticipo,ANTICIPO PRUEBA DE MENU FECHA 8 FEBRERO 2025 HSA CUPULA folio:G2023-14370,129,69,efe
1749,2024-10-15 00:48:15,4000,pago,A CUENTA DE COMISIONES EVENTO 21 FEB 2025 HSA folio:G2023-14377,131,255,efe
1750,2024-10-15 22:35:00,46875,pago,A CUENTA SALON EVENTO 9 MAYO 2025 CEDROS folio:G2023-14404,135,75,efe
1751,2024-10-16 18:38:03,5000,pago,A CUENTA COMISION BRENTA TAPIA 17 MAYO 2025 HILTON folio:G2023-14431,137,254,efe
1752,2024-10-17 00:25:49,10000,anticipo,ANTICIPO SALON EVENTO 13 JUNIO 2025 CANDILES folio:G2023-14454,144,67,efe
1753,2024-10-17 22:17:23,4000,pago,A CUENTA COMISION ESTEBAN / 21 FEBRERO 2025 CUPULA folio:G2023-14509,131,255,efe
1754,2024-10-25 19:32:31,20000,anticipo,ANTICIPO SALON EVENTO 12 JULIO 2025 ARCOS folio:G2023-14737,158,171,efe
1755,2024-10-25 21:02:06,25000,anticipo,ANTICIPO JARDIN FORESTA EVENTO 13 JUNIO 2025 folio:G2023-14745,146,154,efe
1756,2024-10-28 16:27:12,300,pago,PROPINA DEGUSTACION 10 ENERO 2025 CANDILES folio:G2023-14748,112,67,efe
1757,2024-10-28 16:28:53,300,pago,PROPINA DEGUSTACION 29 MARZO 2025 CANDILES folio:G2023-14749,134,67,efe
1758,2024-10-28 16:30:07,300,pago,PROPINA DEGUSTACION 25 ENERO 2025 CANDILES folio:G2023-14750,122,67,efe
1759,2024-10-28 16:31:10,300,pago,PROPINA DEGUSTACION 1 FEBREO 2025 CANDILES folio:G2023-14751,126,67,efe
1760,2024-10-28 16:32:41,300,pago,PROPINA DEGUSTACION 21 FEBRERO 2025 CANDILES folio:G2023-14752,130,67,efe
1761,2024-10-29 00:11:06,9200,pago,ANTICIPO COMISION FERNANDO RODRIGUEZ 25 JULIO 2025 HACIENDA SAN FERNANDO folio:G2023-14771,166,152,efe
1762,2024-10-29 00:16:24,2800,pago,LIQUIDACION IPAD AC COMISION FERNANDO RODRIGUEZ / 25 JULIO 2025 HACIENDA SAN FERNANDO folio:G2023-14772,166,152,efe
1763,2024-10-29 17:35:58,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO / 11 ENERO 2025 SANTA RITA folio:G2023-14781,116,176,efe
1764,2024-10-29 17:39:21,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO /11 ENERO 2025 POLYFORUM folio:G2023-14782,115,176,efe
1765,2024-10-29 17:40:26,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO /18 ENERO 2025 HSA CAMPOS folio:G2023-14783,120,176,efe
1766,2024-10-29 17:41:45,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO / 31 ENERO 2025 SAN FERNANDO folio:G2023-14784,125,176,efe
1767,2024-10-29 17:43:02,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO / 21 FEBRERO 2025 HSA CUPULA folio:G2023-14785,131,176,efe
1768,2024-10-29 17:43:58,5000,anticipo,ANTICIPO BANQUETE ISABEL OTERO / 7 MARZO 2025 SAN FERNANDO folio:G2023-14786,133,176,efe
1769,2024-10-29 19:13:46,300,pago,PROPINA DEGUSTACION 11 ENERO 2025 EN PLATINUM folio:G2023-14800,116,176,efe
1770,2024-10-29 19:14:51,300,pago,PROPINA DEGUSTACION 11 ENERO 2025 EN PLATINUM folio:G2023-14801,115,176,efe
1771,2024-10-29 19:15:39,300,pago,PROPINA DEGUSTACION 18 ENERO 2025 EN PLATINUM folio:G2023-14802,120,176,efe
1772,2024-10-29 19:16:25,300,pago,PROPINA DEGUSTACION 31 ENERO 2025 EN PLATINUM folio:G2023-14803,125,176,efe
1773,2024-10-29 19:19:17,300,pago,PROPINA DEGUSTACION 21 FEBRERO 2025 EN PLATINUM folio:G2023-14804,131,176,efe
1774,2024-10-29 19:20:11,300,pago,PROPINA DEGUSTACION 7 MARZO 2025 EN PLATINUM folio:G2023-14805,133,176,efe
1775,2024-10-29 20:16:59,10000,anticipo,PAGO ANTICIPO CANDILES POLANCO - folio:G2023-14818,165,67,efe
1776,2024-11-07 20:52:06,12240,devolucion,DEVOLUCION COMITE. GRADUADOS QUE CANCELARON : ANDREA RAMIREZ $ 1530 / FATIMA SALINAS $ 1530 / ANEL MARTINEZ $ 1530 / ANGELICA MARTINEZ 1530 / MARIA DEL CARMEN BARRO 1530/ METZLI FERNANDA RIOS $4590 folio:G2023-15095,148,260,efe
1777,2024-11-11 19:53:50,50000,anticipo,ANTICIPO HOTEL HILTON 17 MAYO 2025C folio:G2023-15110,137,168,efe
1778,2024-11-13 00:47:03,57420,anticipo,ANTICIPO - TERRAZAS VELVEDERE folio:G2023-15165,117,294,efe
1779,2024-11-13 19:18:32,25000,anticipo,ANTICIPO HSA CUPULA 12 DICIEMBRE 2025 folio:G2023-15169,175,171,efe
1780,2024-11-13 19:20:53,20000,anticipo,ANTICIPO HSA ARCOS 19 JULIO 2025 folio:G2023-15170,164,171,efe
1781,2024-11-13 19:22:00,20000,anticipo,ANTICIPO HSA ARCOS 24 MAYO 2025 folio:G2023-15171,141,171,efe
1782,2024-11-13 19:23:18,15000,anticipo,ANTICIPO HSA CAMPOS 23 MAYO 2025 folio:G2023-15172,139,171,efe
1783,2024-11-15 21:11:21,10000,anticipo,ANTICIPO SALON CANDILES 11 ENERO 2025 folio:G2023-15211,177,67,efe
1784,2024-11-20 17:26:20,19798,pago,AC COMISION TABLETA TAJETA SANTANDER - SARAI folio:G2023-15240,121,264,efe
1785,2024-11-20 20:59:20,10000,pago,ANTICIPO COMISION OMAR Y JESSIE 2 AGOSTO 2025 PONSA folio:G2023-15247,169,251,efe
1786,2024-11-21 00:26:59,13760,pago,ABONO COMISION BRENDA TAPIA 12 DICIEMBRE 2025 CUPULA folio:G2023-15257,175,254,efe
1787,2024-11-21 18:11:17,7500,pago,AC COMISION FERNANDA - TABLET / 15 FEBRERO 2025 CANDILES folio:G2023-15258,176,257,efe
1788,2024-11-29 17:25:57,75000,pago,PAGO A CUENTA SALON HSA CUPULA / 31 ENERO 2025 folio:G2023-15405,124,294,efe
1789,2024-11-29 19:01:29,10000,anticipo,ANTICIPO SALON CANDILES 20 DE SEPTIEMBRE 2025 folio:G2023-15416,178,67,efe
1790,2024-11-29 21:11:13,300,pago,PROPINA DEGUSTACION MESERO 11 DE ENERO 2025 folio:G2023-15424,117,260,efe
1791,2024-11-29 23:34:44,5000,pago,ANTICIPO COMISION FERNANDO RODRIGUEZ / 19 JULIO 2025 HSA ARCOS folio:G2023-15432,164,152,efe
1792,2024-12-03 18:19:50,10000,anticipo,ANTICIPO SALON CANDILES 20 DICIEMBRE 2025 folio:G2023-15472,181,67,efe
1793,2024-12-04 18:50:04,225000,pago,PAGO SALON SANTA RITA 11 ENERO 2025 folio:G2023-15531,116,285,efe
1794,2024-12-04 18:51:15,40000,pago,DEPOSITO DE GARANTIA EN CASO DE DAÑOS 11 ENERO 2025 SANTA RITA folio:G2023-15532,116,285,efe
1795,2024-12-16 18:32:57,15000,anticipo,ANTICIPO SALON HSA CAMPOS 13 DICIEMBRE 2025 folio:G2023-15846,183,171,efe
1796,2024-12-16 18:41:22,20000,anticipo,ANTICIPO SALON SAN FERNANDO 18 JULIO 2025 folio:G2023-15847,182,283,efe
1797,2024-12-16 18:42:48,10000,anticipo,ANTICIPO SALON CANDILES 22 FEBRERO 2025 folio:G2023-15848,189,67,efe
1798,2024-12-16 19:41:14,10000,pago,ANTICIPO COMISION ESTEBAN 24 MAYO 2025 HSA ARCOS folio:G2023-15851,141,255,efe
1799,2024-12-16 19:44:09,10000,pago,ANTICIPO COMISION ESTEBAN 20 SEPTIEMBRE 2025 CANDILES folio:G2023-15852,178,255,efe
1800,2024-12-19 19:53:55,10000,anticipo,ANTCIPO SALON CRISTAL EN AMBROSIA 19 JULIO 2025 folio:G2023-15990,188,268,efe
1801,2024-12-19 23:59:06,0,anticipo,ANTICIPO SALON CANDILES 6 DICIEMBRE 2025 se cancela recibo a solicitud de Brenda 19 dic 2024 folio:G2023-16002,184,67,efe
1802,2024-12-20 18:57:20,50000,anticipo,ANTICIPO SALON POLIFORUM 11 ENERO 2025 folio:G2023-16030,115,265,efe
1803,2024-12-20 19:12:22,54400,pago,COMPLEMENTO PAGO SALON POLIFORUM 11 ENERO 2025 folio:G2023-16034,115,265,efe
1804,2024-12-23 21:03:00,100000,pago,A CUENTA BANQUETE CARLOS SANTOS / 31 ENERO 2025 HSA folio:G2023-16157,124,69,efe
1805,2024-12-23 21:04:05,52500,pago,A CUENTA SALON CAMPOS 18 ENERO 2025 folio:G2023-16158,120,171,efe
1806,2025-01-08 19:48:14,3000,anticipo,CENTROS DE MESA BAJOS 12*$250 - KARLA MORALES 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16237,112,191,efe
1807,2025-01-08 19:50:49,300,pago,PAGO DE PROPINA MESERO DEGUSTACION folio:G2023-16238,177,148,efe
1808,2025-01-08 19:58:40,3600,anticipo,CENTROS DE MESA ALTOS 8*$450 - KARLA MORALES 11 DE ENERO 2025 - CANDILES - FERNANDO RODRIGUEZ folio:G2023-16239,113,191,efe
1809,2025-01-08 19:59:49,2000,anticipo,CENTROS DE MESA BAJOS 8*$250 - KARLA MORALES 11 DE ENERO 2025 - CANDILES - FERNANDO RODRIGUEZ folio:G2023-16240,113,191,efe
1810,2025-01-08 20:01:24,4950,anticipo,CENTROS DE MESA ALTOS 11*$450 - KARLA MORALES 11 ENERO 2025 - GAUDI - ESTEBAN folio:G2023-16241,114,191,efe
1811,2025-01-08 20:02:40,3000,anticipo,CENTROS DE MESA BAJOS 12*$250 - KARLA MORALES 11 ENERO 2025 - GAUDI - ESTEBAN folio:G2023-16242,114,191,efe
1812,2025-01-08 20:03:57,5500,anticipo,CENTROS DE MESA BAJOS 22*$250 - KARLA MORALES 11 ENERO 2025 - POLYFORUM- MARISABEL folio:G2023-16243,115,191,efe
1813,2025-01-08 20:06:21,23250,anticipo,CENTROS DE MESA BAJOS 93*$250 - KARLA MORALES 11 ENERO 2025- SANTA RITA- LIZ FERNANDO folio:G2023-16244,116,191,efe
1814,2025-01-08 20:08:47,3150,anticipo,CENTROS DE MESA ALTOS 7*$450 - KARLA MORALES 11 ENERO 2025 - TERRAZAS BELVEDERE - KARLA MONTALVO folio:G2023-16245,117,191,efe
1815,2025-01-08 21:24:03,2000,anticipo,CENTROS DE MESA BAJOS 8*$250 - KARLA MORALES 11 ENERO 2025 - TERRAZA BELVEDERE - KARLA MONTALVO folio:G2023-16248,117,191,efe
1816,2025-01-09 00:58:48,323,pago,BIRRETES - ERIKA 19*17 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16250,112,138,efe
1817,2025-01-09 00:59:39,60,pago,CAJA BIRRETES (2*10) Y GASOLINA $40- ERIKA 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16251,112,138,efe
1818,2025-01-09 01:00:22,400,pago,MECHUDOS 40*10 - NANCY 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16252,112,206,efe
1819,2025-01-09 01:06:18,4851,pago,"DULCES PARA MESA DE DULCES - TAKESHI 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS $ 1,400.00 folio:G2023-16253",112,304,efe
1820,2025-01-09 15:23:44,81450,anticipo,"RENTA SALON CANDILES 
PAGO CENA ADULTO 119 PAX *$760 $ 90,440.00 
PAGO CENA NIÑO 2* $505 $ 1,010.00 
MENOS ANTICIPO $ -10,000.00 folio:G2023-16254",112,67,efe
1821,2025-01-09 15:28:06,5850,pago,COMISION PROMOTOR KARLA MONTALVO 117 PAX*50 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16255,112,43,efe
1822,2025-01-09 15:29:58,2925,pago,COMISION DIRECCION VENTAS 117 PAX*25 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16256,112,55,efe
1823,2025-01-09 15:31:50,1000,pago,COMPRAS WALMART - TAKESHI 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16257,112,304,efe
1824,2025-01-09 15:32:32,1300,pago,JEFE OPERATIVO - TAKESHI 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16258,112,304,efe
1825,2025-01-09 15:33:35,1300,pago,CHOFER OPERATIVO - DANIEL 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16259,112,216,efe
1826,2025-01-09 15:34:21,1100,pago,OPERATIVO - SHOCKER 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16260,112,227,efe
1827,2025-01-09 15:35:29,700,pago,OPERADOR CABINA DE FOTOS - ALEXIS 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16261,112,211,efe
1828,2025-01-09 15:36:30,900,pago,JEFE EDECAN - DIANA 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16262,112,112,efe
1829,2025-01-09 15:37:30,900,pago,EDECAN - MONTSE 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16263,112,130,efe
1830,2025-01-09 15:38:07,700,pago,BOLETEROS - ELI 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16264,112,47,efe
1831,2025-01-09 15:38:47,700,pago,BOLETEROS - SR SALVADOR 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16265,112,303,efe
1832,2025-01-09 15:39:55,1000,pago,MAESTRO DE CEREMONIA SALVADOR 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16266,112,55,efe
1833,2025-01-09 15:40:34,700,pago,BARTENDER - PUGA 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16267,112,271,efe
1834,2025-01-09 15:41:28,100,pago,TAXI PROMOTOR - KARLA MONTALVO 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16268,112,43,efe
1835,2025-01-09 15:42:58,1000,pago,GASOLINA URVAN 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16269,112,302,efe
1836,2025-01-09 15:44:33,300,pago,DESAYUNO OPERATIVOS 3*100 - TAKE 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16270,112,304,efe
1837,2025-01-09 15:45:13,300,pago,COMIDAS STAFF 3*100 - TAKE 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16271,112,304,efe
1838,2025-01-09 15:51:16,2200,pago,NÓMINA LUCES Y AUDIO - GUSTAVO (2) 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16272,112,225,efe
1839,2025-01-09 15:51:54,400,pago,COMIDAS LUCES Y AUDIO- GUSTAVO (2) 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16273,112,225,efe
1840,2025-01-09 15:53:00,1100,pago,PROPINAS EVENTO - 2 CAPITANES / 1 MESERO 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16274,112,67,efe
1841,2025-01-09 15:53:45,3000,pago,MARIACHI - TORRES 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16275,112,201,efe
1842,2025-01-09 15:55:04,2100,pago,ROSA ISELA - BATUCADA LED 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16276,112,280,efe
1843,2025-01-09 16:00:37,3500,pago,DJ ERICK PLATINUM 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16277,112,115,efe
1844,2025-01-09 16:03:51,3500,pago,COMPRA LUCES GUSTAVO 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16278,112,225,efe
1845,2025-01-09 16:04:39,500,pago,CARRO SHOTS - ELI 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16279,112,47,efe
1846,2025-01-09 16:05:20,2500,pago,PERFORMANCE- FERNANDO 10 DE ENERO 2025 - CANDILES UNIV ROSARIO CASTELLANOS folio:G2023-16280,112,152,efe
1847,2025-01-09 16:34:53,15500,pago,DJ DIEGO 11 ENERO 2025 - GAUDI - ESTEBAN folio:G2023-16281,114,90,efe
1848,2025-01-09 16:51:31,109820,anticipo,"RENTA SALON CANDILES CENA ADULTO 155 PAX *$760 $ 117,800.00 
PAGO CENA NIÑO 4* $480
MENOS ANTICIPO $ -10,000.00 11 DE ENERO 2025 - CANDILES - FERNANDO RODRIGUEZ folio:G2023-16283",113,67,efe
1849,2025-01-09 17:07:11,12400,pago,COMISION PROMOTOR FERNANDO RODRIGUEZ 155 PAX*80 11 DE ENERO 2025 - CANDILES - FERNANDO RODRIGUEZ folio:G2023-16284,113,152,efe
